firm,benefits,culture,diversity & inclusion,flexibility,growth,job role clarity,job security,management,pay,people,performance feedback,remote work,stress & pressure,teamwork & collaboration,tools & resources,training & onboarding,travel,work-life balance
Marriott-International,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Mastercard,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
McDonald-s,4.0,4.333333333333333,0.0,3.1363636363636362,3.75,3.0,0.0,1.5384615384615385,1.7272727272727273,3.4285714285714284,0.0,0.0,1.8571428571428572,3.3333333333333335,4.0,4.0,0.0,2.8666666666666667
McKinsey-and-Company,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0
Met-Office,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metro-Bank,0.0,2.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Microsoft,0.0,3.5,0.0,4.5,3.6666666666666665,1.0,0.0,0.0,5.0,4.0,2.0,0.0,0.0,2.5,3.0,0.0,0.0,4.666666666666667
Ministry-of-Justice-UK,4.0,5.0,0.0,0.0,4.0,0.0,0.0,2.5,1.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Missguided,0.0,5.0,0.0,0.0,4.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mitie,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morgan-Stanley,4.0,3.3333333333333335,1.0,4.0,0.0,0.0,0.0,2.5,4.0,3.5,4.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0
Morrisons,4.0,0.0,0.0,0.0,2.5,4.0,0.0,1.75,3.25,4.0,3.0,0.0,1.0,4.0,4.0,4.0,0.0,2.5
NHS,4.142857142857143,2.6666666666666665,0.0,3.0,2.75,1.0,0.0,2.6666666666666665,1.5714285714285714,3.625,0.0,0.0,2.0,3.125,2.8333333333333335,3.0,1.0,2.6923076923076925
NHS-Professionals,0.0,4.0,0.0,3.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
